userId,type,numberOfStamps,Date,HrOD,WOD,TOD,date
577ad4436a166e67574042fa,1,4,3/14/17,3,Tue,3:43:37,2017-03-14T03:43:37.000Z
57753991f2560abe7b423f8d,1,2,3/14/17,3,Tue,3:39:32,2017-03-14T03:39:32.000Z
577542abf2560abe7b424082,1,1,3/14/17,3,Tue,3:39:29,2017-03-14T03:39:29.000Z
57753ca2f2560abe7b423faa,1,1,3/14/17,3,Tue,3:23:44,2017-03-14T03:23:44.000Z
5775cb87c3900d02658da76a,1,1,3/14/17,2,Tue,2:52:33,2017-03-14T02:52:33.000Z
5842166967c748fd3f6aa1cb,1,2,3/14/17,2,Tue,2:39:38,2017-03-14T02:39:38.000Z
57763c97f2560abe7b424719,1,1,3/14/17,2,Tue,2:22:13,2017-03-14T02:22:13.000Z
5855ff2067c748fd3f6aa247,1,2,3/14/17,2,Tue,2:16:44,2017-03-14T02:16:44.000Z
581e6ac88de6ea1c1b8ae9d5,1,2,3/14/17,2,Tue,2:02:59,2017-03-14T02:02:59.000Z
57769d14f2560abe7b424cd8,1,1,3/14/17,2,Tue,2:02:16,2017-03-14T02:02:16.000Z
57754c03f2560abe7b42412a,1,1,3/14/17,1,Tue,1:58:24,2017-03-14T01:58:24.000Z
5776bba0f2560abe7b42525b,1,1,3/14/17,1,Tue,1:57:09,2017-03-14T01:57:09.000Z
57763292f2560abe7b42454f,1,1,3/14/17,1,Tue,1:53:55,2017-03-14T01:53:55.000Z
5775d1dcc3900d02658da76b,1,2,3/14/17,1,Tue,1:48:35,2017-03-14T01:48:35.000Z
586422693dd619f921c84b2c,1,2,3/14/17,1,Tue,1:39:57,2017-03-14T01:39:57.000Z
58c7319f2fe93fba66beff61,1,1,3/14/17,1,Tue,1:28:29,2017-03-14T01:28:29.000Z
57762859f2560abe7b424379,1,2,3/14/17,1,Tue,1:25:34,2017-03-14T01:25:34.000Z
5776bc65f2560abe7b42527e,1,1,3/14/17,1,Tue,1:22:42,2017-03-14T01:22:42.000Z
5775338df2560abe7b423ebb,1,2,3/14/17,1,Tue,1:20:17,2017-03-14T01:20:17.000Z
5776231df2560abe7b424295,1,2,3/14/17,1,Tue,1:02:09,2017-03-14T01:02:09.000Z
58bf4cc52fe93fba66beff02,1,2,3/14/17,0,Tue,0:53:55,2017-03-14T00:53:55.000Z
57769703f2560abe7b424bc3,1,2,3/14/17,0,Tue,0:41:49,2017-03-14T00:41:49.000Z
577c5f956a166e675740430b,1,1,3/14/17,0,Tue,0:24:18,2017-03-14T00:24:18.000Z
58ba12df11cc88957459110b,1,1,3/13/17,23,Mon,23:59:24,2017-03-13T23:59:24.000Z
58ba12df11cc88957459110b,2,,3/13/17,23,Mon,23:59:36,2017-03-13T23:59:36.000Z
58c7319f2fe93fba66beff61,1,1,3/13/17,23,Mon,23:56:24,2017-03-13T23:56:24.000Z
58c7319f2fe93fba66beff61,4,,3/13/17,23,Mon,23:56:09,2017-03-13T23:56:09.000Z
58c091722fe93fba66beff0f,1,1,3/13/17,23,Mon,23:39:19,2017-03-13T23:39:19.000Z
58c72af9af535961248765cc,1,1,3/13/17,23,Mon,23:28:03,2017-03-13T23:28:03.000Z
58c72af9af535961248765cc,4,,3/13/17,23,Mon,23:28:02,2017-03-13T23:28:02.000Z
57762dbbf2560abe7b42446f,1,2,3/13/17,23,Mon,23:16:14,2017-03-13T23:16:14.000Z
57b4cbf214398f413eddcafe,1,1,3/13/17,22,Mon,22:50:36,2017-03-13T22:50:36.000Z
577534e7f2560abe7b423ef5,1,1,3/13/17,22,Mon,22:49:48,2017-03-13T22:49:48.000Z
58aa49202afeac8b6d74e5e1,2,,3/13/17,22,Mon,22:44:49,2017-03-13T22:44:49.000Z
58aa49202afeac8b6d74e5e1,1,1,3/13/17,22,Mon,22:44:21,2017-03-13T22:44:21.000Z
58aa49202afeac8b6d74e5e1,1,1,3/13/17,22,Mon,22:44:00,2017-03-13T22:44:00.000Z
58b9f0012fe93fba66befebe,1,4,3/13/17,22,Mon,22:38:35,2017-03-13T22:38:35.000Z
57763aa1f2560abe7b4246bf,1,1,3/13/17,22,Mon,22:28:37,2017-03-13T22:28:37.000Z
58ae01212afeac8b6d74e611,1,1,3/13/17,22,Mon,22:27:13,2017-03-13T22:27:13.000Z
57752bfdf2560abe7b423df6,1,1,3/13/17,22,Mon,22:26:24,2017-03-13T22:26:24.000Z
5776b135f2560abe7b42505f,1,1,3/13/17,22,Mon,22:09:49,2017-03-13T22:09:49.000Z
58c717682fe93fba66beff5f,1,3,3/13/17,22,Mon,22:04:37,2017-03-13T22:04:37.000Z
58c717682fe93fba66beff5f,4,,3/13/17,22,Mon,22:04:43,2017-03-13T22:04:43.000Z
57753c97f2560abe7b423fa8,1,1,3/13/17,22,Mon,22:01:18,2017-03-13T22:01:18.000Z
5776baaff2560abe7b425231,1,1,3/13/17,21,Mon,21:59:52,2017-03-13T21:59:52.000Z
58c7140daf535961248765ca,1,2,3/13/17,21,Mon,21:50:13,2017-03-13T21:50:13.000Z
58c7140daf535961248765ca,4,,3/13/17,21,Mon,21:50:24,2017-03-13T21:50:24.000Z
57768936f2560abe7b424955,1,2,3/13/17,21,Mon,21:44:49,2017-03-13T21:44:49.000Z
58c70ff9af535961248765c8,1,3,3/13/17,21,Mon,21:33:02,2017-03-13T21:33:02.000Z
58c70ff9af535961248765c8,4,,3/13/17,21,Mon,21:33:00,2017-03-13T21:33:00.000Z
5776baaff2560abe7b425231,1,2,3/13/17,21,Mon,21:30:11,2017-03-13T21:30:11.000Z
